City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,nova xavantina,-14.6667,-52.35,92.93,45,57,1.45,BR,1708022698
349,brokopondo,4.75,-55.1667,91.22,44,100,1.57,SR,1708022698
350,pariaman,-0.619,100.12,80.65,87,100,1.68,ID,1708022698
351,daru,-9.0763,143.2092,78.73,89,57,6.29,PG,1708022698
352,bubaque,11.2833,-15.8333,80.69,78,100,13.91,GW,1708022699
353,hastings,50.8552,0.5729,55.98,30,100,10.67,GB,1708022699
354,guankou,28.15,113.6333,46.2,93,100,1.45,CN,1708022699
355,happy valley-goose bay,53.3168,-60.3315,21.51,86,100,11.5,CA,1708022699
356,mermoz boabab,14.7065,-17.4758,79.36,73,0,13.8,SN,1708022699
357,thunder bay,48.4001,-89.3168,22.98,54,75,17.27,CA,1708022699
358,noumea,-22.2763,166.4572,80.01,99,30,12.88,NC,1708022700
359,polyarnyy,69.1989,33.4478,3.45,95,38,15.05,RU,1708022700
360,impfondo,1.6381,18.0667,83.32,41,43,0.76,CG,1708022700
361,basco,20.4487,121.9702,73.44,77,1,13.69,PH,1708022700
